tema,clave,categoria
Metas personales,3534,pràctiques de formació (ca) / prácticas de formación (es)
Metas personales,4550,treball en equip* (ca) / trabajo en equipo (es)
Metas personales,348,decisió* (ca) / decisión (es)
Metas personales,4543,treball (ca) / trabajo (es)
Metas personales,2239,parentiu (ca) / parentesco (es)
Metas personales,3497,responsabilitat (ca) / responsabilidad (es)
Metas personales,2335,persona casada* (ca) / persona casada (es)
Metas personales,74,unió lliure* (ca) / unión libre (es)
Metas personales,2284,aprenentatge professional* (ca) / aprendizaje profesional (es)
Metas personales,965,família (ca) / familia (es)
Metas personales,3209,relació laboral (ca) / relación laboral (es)
Metas personales,5475,cursa professional* (ca) / carrera profesional (es)
Metas personales,928,execució de projectes* (ca) / ejecución de proyectos (es)
Metas personales,668,educación (es)
Metas personales,5475,cursa professional* (ca) / carrera profesional (es)
Metas personales,5878,salut mental (ca) / salud mental (es)
Machine Learning,1696,programari* (ca) / software (es)
Farmacia,7355,establecimiento farmacéutico
Farmacia,3596,farmacéutico
Leyes,127,aprovació de la llei* (ca) / aprobación de la ley (es)
